date,count,mean,std,min,5%,50%,95%,max,approx_up,approx_down,"R (combined, estimate)"
2021-11-02,28.0,1.2725310714285711,0.0739600527637016,1.063084,1.13398025,1.2796015,1.3572502,1.423959,1.3572502,1.13398025,1.2796015
2021-11-03,28.0,1.2877903214285713,0.07822984950868894,1.0968,1.15723155,1.284524,1.3737199500000001,1.493478,1.3737199500000001,1.15723155,1.284524
2021-11-04,28.0,1.3005074285714286,0.07655439135307102,1.142619,1.20966225,1.2982040000000001,1.40241495,1.524671,1.40241495,1.20966225,1.2982040000000001
2021-11-05,28.0,1.3051513214285715,0.06620966278536779,1.195212,1.21979635,1.290308,1.4225185999999999,1.443741,1.4225185999999999,1.21979635,1.290308
2021-11-06,28.0,1.3032605,0.0634093802568323,1.227836,1.2303429,1.2812139999999999,1.4016737,1.449209,1.4016737,1.2303429,1.2812139999999999
2021-11-07,28.0,1.2922256428571426,0.06575088194210037,1.182122,1.22078215,1.275589,1.4131853499999998,1.44203,1.4131853499999998,1.22078215,1.275589
2021-11-08,28.0,1.2719423214285714,0.06943536025795585,1.140925,1.18974365,1.259223,1.4062272,1.430213,1.4062272,1.18974365,1.259223
2021-11-09,28.0,1.2429978571428568,0.07259093626296875,1.104945,1.13783545,1.2258035,1.3555046,1.440069,1.3555046,1.13783545,1.2258035
2021-11-10,28.0,1.2065828571428572,0.06949933930339529,1.065695,1.09020825,1.1928735000000001,1.33672905,1.356932,1.33672905,1.09020825,1.1928735000000001
2021-11-11,28.0,1.16626275,0.06473607168806161,1.014854,1.05112335,1.1632085,1.27570075,1.286487,1.27570075,1.05112335,1.1632085
2021-11-12,28.0,1.1267641428571427,0.06346221197293199,0.96752,1.015941,1.1256115,1.2069965999999999,1.279418,1.2069965999999999,1.015941,1.1256115
2021-11-13,28.0,1.0892456785714286,0.06057046220606065,0.929027,0.98138805,1.0925099999999999,1.16262255,1.214471,1.16262255,0.98138805,1.0925099999999999
