date,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
2021-02-15,1.0485629938668948,0.016497358136685552,1.0159883898157915,1.081137597917998,0.8346948924521934,1.262431095281596
2021-02-16,1.03867133676205,0.015998596939544283,1.0070815539397955,1.0702611195843044,0.8249510187003364,1.2523916548237635
2021-02-17,1.0209479649780668,0.01642500302766218,0.9885162285914697,1.053379701364664,0.8071015773567358,1.2347943525993978
2021-02-18,0.9976639056821248,0.01702565693189616,0.9640461573934971,1.0312816539707526,0.7836344381463661,1.2116933732178834
2021-02-19,0.9922978856079309,0.018617161821944426,0.9555376558862648,1.0290581153295968,0.7777523788667444,1.2068433923491173
2021-02-20,0.9795890459489849,0.021043261717054396,0.9380383980999527,1.021139693798017,0.7641710422670338,1.195007049630936
2021-02-21,0.9798673791693044,0.021600332176483064,0.9372167764369445,1.0225179819016645,0.7642345108790635,1.1955002474595455
2021-02-22,0.9838914333062427,0.020981402422217035,0.9424629287737047,1.0253199378387807,0.7684969557506532,1.1992859108618323
2021-02-23,0.9882202789475292,0.018845599465880523,0.9510089911994851,1.0254315666955733,0.7735970278550379,1.2028435300400204
2021-02-24,1.023992571113876,0.018081630449862867,0.9882897666028386,1.0596953756249134,0.8096257121463664,1.2383594300813856
2021-02-25,1.0515604053578294,0.01747122503969628,1.0170628674344533,1.0860579432812054,0.8373909862139712,1.2657298245016875
2021-02-26,1.0764368896752732,0.01696075706915447,1.042947288409597,1.1099264909409494,0.8624275128559926,1.2904462664945537
2021-02-27,1.0883757283951916,0.018071557508270813,1.0526928132556082,1.124058643534775,0.8740121811057759,1.3027392756846072
2021-02-28,1.1036150021630802,0.01800697467694376,1.0680596080569584,1.139170396269202,0.8892726451178978,1.3179573592082625
2021-03-01,1.1136328172344006,0.015662630530672985,1.0827064117027874,1.1445592227660137,0.9000095447832264,1.3272560896855747
2021-03-02,1.1083659497416731,0.011477132967992666,1.0857039538647177,1.1310279456186285,0.895781787512287,1.3209501119710594
2021-03-03,1.1070240494511945,0.01035028772364448,1.0865870484708393,1.1274610504315496,0.8946655530760462,1.3193825458263428
2021-03-04,1.0869178146973046,0.012490504056886998,1.0622548825671583,1.111580746827451,0.8741110474296752,1.2997245819649341
2021-03-05,1.0781090907375321,0.015314213365753277,1.0478706469448733,1.108347534530191,0.864584329979805,1.2916338514952592
2021-03-06,1.0636504555773945,0.01613423346757866,1.0317928537407877,1.0955080574140013,0.8498903873503689,1.27741052380442
